Position,Company,Date Applied,Status,Date Responded,Interview,Notes,Total Days,,
Software Engineer,Discord,4/1/2024,No Answer,,,,,,
Full Stack Engineering Associate Director,S&P Global,5/9/2024,Rejected,7/12/2024,,,64,,
Senior Full Stack Engineer I,Kooth USA,5/24/2024,No Answer,,,,,,
Sr/Lead/Principal Front-End Engineer ,Tripalink,5/31/2024,No Answer,,,,,,
Software Engineer,Hurricane Electric,5/31/2024,No Answer,,,,,,
Sr. Software Engineer,J. Morrisey,6/5/2024,No Answer,,,,,,
Sr. Software Developer,Swipejobs,6/6/2024,No Answer,,,,,,
Sr. Frontend Engineer,HashiCorp,6/7/2024,Rejected,7/23/2024,,,46,,
Front End Engineer,Cisco Meraki,6/7/2024,Rejected,6/13/2024,,,6,,
,Home Depot,6/10/2024,No Answer,,,,,,
Software Engineer,Medallion,6/10/2024,No Answer,,,,,,
"Sr. Staff Software Engineer, Frontend",Salesforce,6/10/2024,Rejected,6/12/2024,,,2,,
Front End / Full Stack Developer,"Block, TIDAL",6/10/2024,Rejected,7/30/2024,,,50,,
Software Engineer II,Quokka,6/10/2024,No Answer,,,,,,
Software Engineer,Common Room,6/10/2024,No Answer,,,,,,
Senior Web Software Engineer,Pinterest,6/10/2024,No Answer,,,,,,
Software Engineer II,Fanatics,6/11/2024,No Answer,,,,,,
Frontend Engineer,LeafLink,6/11/2024,No Answer,,,,,,
Frontend Software Engineer,Scribd,6/11/2024,Rejected,7/26/2024,,,45,,
UI Engineer (L4),Netflix,6/12/2024,No Answer,,,,,,
Frontend Engineer,Veza,6/18/2024,No Answer,,,,,,
Frontend Engineer,Vercel,6/18/2024,No Answer,,,,,,
Software Engineer,Vercel,5/8/2024,No Answer,,,,,,
Frontend Engineer,ReadMe,6/19/2024,Rejected,7/9/2024,,,20,,
Frontend Engineer,Cloudflare,6/19/2024,No Answer,,,,,,
Frontend Engineer,Cisco Meraki,6/19/2024,Rejected,6/28/2024,,,9,,
Frontend Engineer,DoorDash,6/19/2024,No Answer,,,,,,
Web Developer,HealthFirst,6/20/2024,No Answer,,,,,,
Frontend Engineer,Airbnb,6/22/2024,No Answer,,,,,,
Senior Software Engineer,Microsoft,6/22/2024,Rejected,6/23/2024,,,1,,
Software Engineer (L4),Netflix,6/22/2024,No Answer,,,,,,
,Dropbox,6/22/2024,Rejected,8/9/2024,,,48,,
Senior Software Engineer,Coinbase,6/22/2024,Rejected,7/25/2024,,,33,,
Frontend Developer,Crate & Barrel,6/22/2024,No Answer,,,,,,
"Software Engineer, UI",Tenable,6/22/2024,Rejected,7/23/2024,,,31,,
Software Engineer II,Github,6/22/2024,Rejected,7/12/2024,,,20,,
Frontend Engineer,Stripe,7/1/2024,No Answer,,,,,,
Sr. Front End Software Engineer,Comcast,7/1/2024,Rejected,7/11/2024,,,10,,
Frontend Engineer,Stripe,6/11/2024,No Answer,,,,,,Average Time to Hear Back
Full Stack Engineer,Stripe,6/11/2024,No Answer,,,,,,16.14
Full Stack Engineer,Stripe,6/19/2024,No Answer,,,,,,
Software Engineer III,Flock Safety,6/10/2024,Rejected,6/18/2024,,,8,,
Frontend Engineer,Tech Lead,6/10/2024,Rejected,6/21/2024,,,11,,
Frontend Engineer,Reddit,6/11/2024,Rejected,6/14/2024,,,3,,
Sr. Software Engineer,Domaintools,5/31/2024,Rejected,7/1/2024,,,31,,
Software Engineer,Whatnot,6/10/2024,Rejected,6/14/2024,,,4,,
,Automattic,6/11/2024,No Answer,,,,,,
Frontend Engineer,Gitlab,6/11/2024,Rejected,6/13/2024,,,2,,
,Runway,6/11/2024,Rejected,6/16/2024,,,5,,
Frontend Engineer,Squarepeg,6/11/2024,Rejected,6/21/2024,,,10,,
Frontend Engineer,Adobe,6/22/2024,Rejected,7/5/2024,,,13,,
Sr. Software Engineer,Walmart,7/8/2024,No Answer,,,,,,
Frontend Developer,Jellycat,7/8/2024,Rejected,7/8/2024,,,0,,
Sr. Frontend Engineer,Cortext,7/8/2024,Rejected,7/9/2024,,,1,,
Frontend Architect,Peerspace,7/8/2024,Rejected,7/11/2024,,,3,,
Software Engineer,Rogo,7/8/2024,No Answer,,,,,,
Software Engineer,Second Front Systems,6/10/2024,Rejected,7/24/2024,,,44,,
Frontend Engineer,Amazon,7/8/2024,Rejected,7/9/2024,,,1,,
Frontend Developer,Stryker,7/8/2024,Rejected,7/29/2024,,,21,,
Sr. Frontend Developer,KellyMitchell Group,7/8/2024,No Answer,,,,,,
Frontend Engineer (three.js),Slingshot Aerospace,7/11/2024,Rejected,7/12/2024,,,1,,
Frontend Engineer,Blink Health,7/11/2024,Rejected,8/13/2024,,,33,,
Senior Frontend Engineer,Hungryroot,7/11/2024,Rejected,7/12/2024,,,1,,
